1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
name,numberOfPlayer,Poss,age,matches_played,starts,minutes,non_penalty_goals,penalty_goals,assists,yellow_cards,red_cards,xG,npxG,xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,GK_Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Pass_Cmp_outcome,Pass_Off,Pass_Blocks,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live_Touches,Take_Att,Take_Succ,Take_Succ%,Take_Tkld,Take_Tkld%,Carries,Carries_TotDist,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Fulham,25,50.6,28.4,38,418,3420,52,2,40,84,4,50.8,49.2,37.6,670,1467,N/a,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0,54,499,175,35.1,13.13,4.61,0.1,0.3,17,14,2,2,50.8,49.2,0.1,3.2,2.8,16311,20237,80.6,290238,100538,7028,7907,88.9,7277,8347,87.2,1586,2853,55.6,40,37.6,33.6,2.4,379,1117,355,94,1467,18414,1772,464,58,118,736,696,212,16311,51,421,679,384,339,260,80,346,678,51,332,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,384,364,51,736,4,1837,487,509,48.9
Liverpool,30,61.3,26.3,38,418,3420,74,6,60,69,5,87.8,80.4,63.7,924,2110,N/a,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79,41,1.08,147,108,72.8,24,10,4,10,26.3,1,1,0,0,0,80,781,263,33.7,20.55,6.92,0.09,0.28,17.2,18,6,9,87.8,80.4,0.11,-7.8,-6.4,20376,24379,83.6,346550,118702,9656,10641,90.7,8627,9763,88.4,1637,2814,58.2,60,63.7,55.6,-3.7,598,1666,506,80,2110,22490,1789,440,102,145,817,755,287,20376,100,371,677,418,274,290,113,341,768,44.4,427,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,924,694,295,574,407,463,376,100,817,2,2034,583,441,56.9
Luton Town,28,42.4,26.7,38,418,3420,44,5,33,71,0,42.4,38.6,29.5,675,1113,N/a,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79,85,2.24,223,142,63.7,6,8,24,2,5.3,4,4,0,0,0,49,427,134,31.4,11.24,3.53,0.1,0.33,16.3,11,5,5,42.4,38.6,0.09,6.6,5.4,11048,15099,73.2,201475,81352,4969,5784,85.9,4443,5431,81.8,1289,2879,44.8,33,29.5,27.5,3.5,315,835,250,90,1113,13156,1876,498,22,111,841,703,203,11048,67,413,654,368,330,236,88,299,616,48.5,317,19656,2630,7028,7906,4964,780,19651,771,354,45.9,331,42.9,10070,59990,29813,675,480,169,580,385,443,448,67,841,4,1868,635,631,50.2
Manchester City,25,65.2,26.6,38,418,3420,85,9,69,53,2,80.5,72.9,60.2,1127,2060,N/a,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5,34,0.89,109,76,71.6,28,7,3,13,34.2,3,3,0,0,0,94,683,264,38.7,17.97,6.95,0.12,0.32,17.1,25,9,10,80.5,72.9,0.11,13.5,12.1,24616,27758,88.7,394064,112270,12895,13721,94,9449,10306,91.7,1652,2498,66.1,69,60.2,62.1,8.8,545,1890,484,65,2060,26136,1580,460,85,133,700,604,286,24616,42,383,517,305,183,221,113,222,458,48.5,236,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,1127,867,415,441,356,289,410,42,700,1,1734,325,288,53
Manchester Utd,31,50.6,26.1,38,418,3420,51,6,36,83,1,56.5,51,40.1,759,1479,N/a,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0,57,543,182,33.5,14.29,4.79,0.09,0.28,17.4,15,6,7,56.5,51,0.1,0.5,0,15785,19538,80.8,260507,91226,7892,8866,89,5965,6943,85.9,1355,2517,53.8,36,40.1,34.6,-4.1,434,1202,338,50,1479,17784,1663,371,73,99,594,643,224,15785,91,372,676,409,334,240,102,349,715,48.8,366,23997,2938,8197,9856,6145,1025,23990,697,311,44.6,303,43.5,13976,75395,39607,759,523,275,484,342,401,340,91,594,1,1851,436,450,49.2
Newcastle Utd,32,52.2,27.2,38,418,3420,75,8,55,79,1,76,69,51.3,737,1557,N/a,2.18,1.45,3.63,1.97,3.42,2,1.35,3.35,1.82,3.17,62,1.63,195,133,70.3,18,6,14,10,26.3,5,4,1,0,20,83,542,196,36.2,14.26,5.16,0.14,0.38,15.7,9,8,9,76,69,0.13,7,6,16117,19852,81.2,274265,96401,7681,8623,89.1,6722,7757,86.7,1358,2504,54.2,55,51.3,43.5,3.7,424,1107,380,76,1557,18026,1767,515,85,133,648,679,192,16117,59,364,661,391,316,254,91,302,681,44.3,379,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13649,73443,36585,737,507,243,506,400,386,469,59,648,1,1836,453,418,52
Nott'ham Forest,33,40.6,25.7,38,418,3420,48,1,43,82,3,49.9,49.1,38,604,1140,N/a,1.29,1.13,2.42,1.26,2.39,1.31,1,2.31,1.29,2.29,67,1.76,163,98,61.3,9,9,20,4,10.5,4,4,0,0,0,49,450,143,31.8,11.84,3.76,0.11,0.34,17.2,7,1,1,49.9,49.1,0.11,-0.9,-1.1,11873,15673,75.8,209938,83047,5506,6412,85.9,4763,5857,81.3,1262,2490,50.7,43,38,27.9,5,325,905,244,61,1140,13969,1627,409,53,83,595,661,148,11873,77,315,728,429,437,219,72,325,607,53.5,282,20118,2495,7340,8310,4686,785,20117,603,275,45.6,268,44.4,10216,54782,29231,604,396,156,527,286,428,371,77,595,2,1807,583,556,51.2
Sheffield Utd,35,35.8,25.7,38,418,3420,26,5,18,101,5,38.3,34.4,25.8,343,884,N/a,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.58,104,2.74,263,166,62.4,3,7,28,1,2.6,7,5,0,2,0,31,360,117,32.5,9.47,3.08,0.07,0.22,17.4,8,5,5,38.3,34.4,0.1,-7.3,-8.4,9521,13498,70.5,169803,71320,4486,5347,83.9,3733,4691,79.6,1044,2630,39.7,18,25.8,21,-7.8,257,701,198,48,884,11753,1681,380,25,52,428,666,141,9521,64,321,709,405,375,248,86,299,635,47.1,336,17940,2814,7150,7140,3830,646,17935,578,250,43.3,285,49.3,8313,43259,20339,343,287,127,489,323,423,318,64,428,7,1638,585,693,45.8
Tottenham,29,61.6,25.2,38,418,3420,67,2,58,92,4,68.2,66.7,57.4,957,2107,N/a,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0,69,582,207,35.6,15.32,5.45,0.12,0.32,16.5,11,2,2,68.2,66.7,0.12,0.8,0.3,20649,24197,85.3,326221,111380,10630,11617,91.5,8361,9345,89.5,1089,1905,57.2,58,57.4,52.1,0.6,460,1588,454,65,2107,22167,1947,636,91,59,710,723,234,20649,83,480,724,451,335,264,125,360,691,52.1,331,28529,2791,8519,12260,8011,1316,28527,812,359,44.2,363,44.7,18081,92767,46593,957,634,349,559,375,425,510,83,710,3,1907,359,388,48.1
West Ham,26,41.1,28.3,38,418,3420,54,4,40,82,3,52.3,48.4,34.8,556,1207,N/a,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19,74,1.95,241,169,72.6,14,10,14,5,13.2,10,8,2,0,20,58,445,146,32.8,11.71,3.84,0.12,0.37,16.2,17,4,5,52.3,48.4,0.11,5.7,5.6,12568,16373,76.8,219336,85575,6043,6856,88.1,4817,5751,83.8,1330,2718,48.9,40,34.8,30.8,5.2,305,979,225,71,1207,14568,1734,429,60,158,661,721,165,12568,71,411,684,426,350,254,80,307,607,50.6,300,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,390,392,71,661,4,1817,576,570,50.3
Wolves,27,48.9,26.6,38,418,3420,43,4,36,102,4,46.7,43.6,31.8,671,1180,N/a,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98,65,1.71,203,139,71.9,13,7,18,5,13.2,8,8,0,0,0,47,425,153,36,11.18,4.03,0.1,0.28,16.7,12,4,4,46.7,43.6,0.11,0.3,-0.6,15484,19175,80.8,255933,84649,7694,8577,89.7,6100,7016,86.9,1218,2527,48.2,36,31.8,27.6,4.2,316,910,239,61,1180,17409,1688,439,49,125,578,684,156,15484,78,333,739,430,415,247,77,312,607,51.4,295,23485,2823,8674,10262,4804,739,23481,823,415,50.4,324,39.4,13056,71348,36731,671,519,168,536,389,476,405,78,578,1,1885,441,491,47.3
